chapter,comments,likes,date,user,comment_body,post_date,upvotes,downvotes,reply_count,scrape_date
2,7674,355726,2018-08-15,Cat Woman,"This is something......people out there, you are all beautiful the way you are, no need for makeup. If you choose makeup and it makes you FEEL good then go for it but people please, we are all beautiful in our own ways and we don't need to change that for anything. You are loved❤️","Aug 14, 2018",194,4,2022-12-28,3
2,7674,355726,2018-08-15,Grethell,She has the best music taste :) ,"Aug 14, 2018",176,4,2022-12-28,1
3,7359,363371,2018-08-15,Austin Lee,“That hurt my eyes.” My mom looking at my grades,"Aug 14, 2018",194355,417,2022-12-28,83
3,7359,363371,2018-08-15,heemilley,"Finally it's released in English! This is a very good webtoon. You guys are gonna like it. The other title is Secret of Angel. Edit: for those asking abt BTS, yes you will find them here lol I also found other idols used for face reference such as Seulgi Wendy and Kwon Hyunbin. Happy reading!","Aug 14, 2018",86686,793,2022-12-28,180
3,7359,363371,2018-08-15,libbyhill ,THEY NEED MORE READERS THIS IS REALLY GOOD.,"Aug 14, 2018",74662,529,2022-12-28,32
3,7359,363371,2018-08-15,LadyLee13,"Dang. It's so true. When you first start using makeup, you have no idea where to start. I've been doing makeup for years, but I can still only do basics, and the only reason I can even do that much is because I've done theater for seven years. It's just so hard to know how to do anything, then when you do, you're nervous about how to do it and if you'll do it right, and what people will think when you go out in public, and will people judge you.","Aug 14, 2018",1450,1,2022-12-28,14
3,7359,363371,2018-08-15,TheOfficalMary,"You know what's odd? Guys don't have to wear makeup to look beautiful, because they are told they look good without it. I don't get why. Why is my natural face, as a woman, uglier than my brothers? What's so different about them? ","Aug 14, 2018",1203,13,2022-12-28,29
3,7359,363371,2018-08-15,This user has been deleted.,This comment has been deleted.,,0,0,2022-12-28,2
3,7359,363371,2018-08-15,finnie029,This Webtoon comic really tells a lot bout the Korean society when it comes to looks and beauty of a person. Just a new reader and I am loving it!❤,"Aug 14, 2018",617,10,2022-12-28,11
3,7359,363371,2018-08-15,rory <3,Honestly She Was Cute Before She Just Needed To LIGHTLY trim those brows,"Aug 15, 2018",529,3,2022-12-28,6
3,7359,363371,2018-08-15,The Night Owl 🦉 🌕,I don't know about you guys. But I read this with different tone when she have makeup on and when she doesn't have. She have two different voices.😂😂😂,"Aug 14, 2018",448,4,2022-12-28,3
3,7359,363371,2018-08-15,Thia.Lee,"Am I the only one too broke to buy makeup? Just me, okay. ","Aug 14, 2018",331,5,2022-12-28,4
3,7359,363371,2018-08-15,GAMMA1184,her brothers face when he sees her is MEME WORTHY.,"Aug 14, 2018",311,0,2022-12-28,2
3,7359,363371,2018-08-15,KissHimNotMeh,Poor girl she shouldn’t have to use make up to feel pretty honestly none of us should it’s just how we have been raised she is pretty with or without makeup (unlike me LoL) Edit: this is the most amount of likes I’ve ever gotten on a comment Edit 2: sorry I know my edits are annoying but I’d like to respond to one of my replies I was not hating of makeup lovers just pointing out we don’t need makeup to cover up flaws and I do like makeup I just feel that people shouldn’t need it to feel pretty,"Aug 14, 2018",282,4,2022-12-28,10
3,7359,363371,2018-08-15,Mayi Ruiz🌻🇲🇽,I had never heard of.double eye-lid glue 😱,"Aug 14, 2018",240,1,2022-12-28,16
3,7359,363371,2018-08-15,acuiram7,This is like a female version of Lookism (sort of) Love it!,"Aug 14, 2018",160,6,2022-12-28,7
3,7359,363371,2018-08-15,Ktoast,her brothers reactions are the best😂,"Aug 14, 2018",147,2,2022-12-28,0
4,11735,350901,2018-08-22,ilitterallycanteven,She nose-breathes so deeply like she’s snorting coke damn chill girl,"Aug 21, 2018",171662,1029,2022-12-28,184
4,11735,350901,2018-08-22,ONIIIIIIIIII-CHAANN,"THERES A GUY , I REPEAT THERES A GUYYYY - thanks for top comment y’all ilysmm","Aug 21, 2018",104984,2018,2022-12-28,121
4,11735,350901,2018-08-22,ABongoCat °^°,If only real life works like that ;-; Edit: No Rioting in the replies please .-. 😑 T.T,"Aug 21, 2018",84792,759,2022-12-28,84
4,11735,350901,2018-08-22,K Palmer,plot twist: he wears make up too,"Aug 21, 2018",4448,40,2022-12-28,50
4,11735,350901,2018-08-22,🎧Music_FT🎧,Relatable. That one time you don't wear makeup outside u meet a cute guy,"Aug 21, 2018",2728,14,2022-12-28,19
4,11735,350901,2018-08-22,Kaedance360,*silently chanting* please be a good guy please be a good guy please be a good guy.....,"Aug 21, 2018",1585,7,2022-12-28,14
4,11735,350901,2018-08-22,zuubbii,Daniel???? is that you???,"Aug 21, 2018",939,15,2022-12-28,24
4,11735,350901,2018-08-22,dailecynikkii,oh why hello good lookin man,"Aug 21, 2018",789,8,2022-12-28,3
4,11735,350901,2018-08-22,hyesoon,I hope this comic is about finding the true beauty inside and how he will learn to like her without the make-up on💙💜💛 but it’s amazing artwork and I love the main character😘,"Aug 21, 2018",672,6,2022-12-28,8
4,11735,350901,2018-08-22,Alex Scribbles,"I bet you money he's going to be an ass to her. Hell either be a jerk when she's natural and like her when she has makeup on *OR VICE VERSA*. (lol, thanks for all the replies, but I'm not a prophet 😂)","Aug 21, 2018",511,6,2022-12-28,12
4,11735,350901,2018-08-22,p1ggy66,When you realise you are uglier than the actual comic girl ,"Aug 21, 2018",478,4,2022-12-28,5
4,11735,350901,2018-08-22,lil shrimpy,Still getting lookism vibes,"Aug 21, 2018",492,9,2022-12-28,4
4,11735,350901,2018-08-22,Ishe_eee,... I know this might sound crazy but i already ship it,"Aug 21, 2018",369,8,2022-12-28,6
4,11735,350901,2018-08-22,🥔ThePotatoeMaster🥔,Okay conspiracy theories HE USES MAKEUP TOO. 😱😱😱,"Aug 21, 2018",301,2,2022-12-28,3
4,11735,350901,2018-08-22,kousuke's earrings,"at this webtoon, if ur pretty, people will admire you and people will love you. but in reality, the girls at my class will hate you for being pretty and will call you a *** :/","Aug 21, 2018",257,0,2022-12-28,9
5,8216,332506,2018-08-29,웃음꽃,She's avoiding him like how I try to avoid reality,"Aug 28, 2018",175595,452,2022-12-28,139
5,8216,332506,2018-08-29,tor4.1,“I shouldn’t have worn that bag to school that day.” Oh but you should have.,"Aug 28, 2018",129317,552,2022-12-28,47
5,8216,332506,2018-08-29,markratts,Now the real stuff starts,"Aug 28, 2018",106155,428,2022-12-28,30
5,8216,332506,2018-08-29,MangoManga,Plot twist: he uses makeup as well and is like the male version of the main character ,"Aug 28, 2018",3119,25,2022-12-28,32
5,8216,332506,2018-08-29,ArAS..,Don’t you just love It when a body falls off your back pack,"Aug 28, 2018",1988,6,2022-12-28,13
5,8216,332506,2018-08-29,naruchaaan,"Be careful, he might be armed with Kousuke’s “female repellent”","Aug 28, 2018",1136,5,2022-12-28,30
5,8216,332506,2018-08-29,匚ㄖ丂乃ㄖㄒ,Honeslty i like the bag :p,"Aug 28, 2018",1045,0,2022-12-28,8
5,8216,332506,2018-08-29,Lone Vixen,I bet that she will wear the same bag when she's without makeup and he'll meet her and piece it together. ,"Aug 28, 2018",861,0,2022-12-28,12
5,8216,332506,2018-08-29,morgiana,the bag of the destiny 😘,"Aug 28, 2018",772,4,2022-12-28,5
5,8216,332506,2018-08-29,Slosh_Child ,And the plot thickens. ,"Aug 28, 2018",505,1,2022-12-28,1
5,8216,332506,2018-08-29,grayismine,I feel like the hot guy wears makeup too...HOW CAN ANYBODY BE THAT HOT,"Aug 28, 2018",461,11,2022-12-28,11
5,8216,332506,2018-08-29,SirTopMHatPuffMan,Ok but that bag was a bit cute-right?,"Aug 28, 2018",355,1,2022-12-28,3
5,8216,332506,2018-08-29,Chichinichi,What if... the boy using make up too? Just what if. ,"Aug 28, 2018",312,6,2022-12-28,3
5,8216,332506,2018-08-29,Ajaxon,rip jack skellington ;-;,"Aug 28, 2018",273,1,2022-12-28,2
5,8216,332506,2018-08-29,jikseuu,mom...DID YOU SEE MY BAG?! DID YOU SEE MY BAG?!,"Aug 28, 2018",236,3,2022-12-28,13
6,12816,324218,2018-09-05,Aurorax🥀,"A “natural look” SHE LITERALLY USED THE WHOLE MAKEUP STORE!😂Edit: damn, after 2 years now I use make up... and let me tell yah she did not wash her face correctly! Where is the serum? The face cream?? She did not use a primer for her pores! I would rather go with a concealer than the powder. And I would prob add for her to do her eyelashes, not completely but add some ✨flavor✨","Sep 04, 2018",210107,3645,2022-12-28,266
6,12816,324218,2018-09-05,Cucumbear,Hah makeup? I only use gas masks. It does the job fairly. Edit: guys stop calling me Benny lmfao,"Sep 04, 2018",104297,827,2022-12-28,206
6,12816,324218,2018-09-05,OtakuWithNoJams,When she thought of the dream version of a Japanese guy she thought of Kang Daniel and Park Jihoon 😂 (Edit:and she thought of Ong Seongwoo studying with her),"Sep 04, 2018",11987,52,2022-12-28,44
6,12816,324218,2018-09-05,This user has been deleted.,This comment has been deleted.,,0,0,2022-12-28,33
6,12816,324218,2018-09-05,tsunamelie,plot twist he wears a ton of makeup too,"Sep 04, 2018",2640,25,2022-12-28,23
6,12816,324218,2018-09-05,The gay blueberry,when a webtoon gives a better make up tutorial then most beauty grus,"Sep 04, 2018",1598,7,2022-12-28,7
6,12816,324218,2018-09-05,chunmun,"""am I finally escaping single life?!!"" - me when I make eye contact with my crush. 😅😂","Sep 04, 2018",1151,3,2022-12-28,8
6,12816,324218,2018-09-05,This user has been deleted.,This comment has been deleted.,,0,0,2022-12-28,8
6,12816,324218,2018-09-05,RadiantRose🌹,"Such a sweet dedication to Linkin Park, R.I.P. Chester 💜 ","Sep 04, 2018",755,0,2022-12-28,10
6,12816,324218,2018-09-05,This user has been deleted.,This comment has been deleted.,,0,0,2022-12-28,6
6,12816,324218,2018-09-05,Euni ✧,its like he can stare through her makeup 😰,"Sep 04, 2018",679,1,2022-12-28,3
6,12816,324218,2018-09-05,lcveamy,I JUST SAW JIHOON AND DANIEL,"Sep 04, 2018",548,1,2022-12-28,4
6,12816,324218,2018-09-05,nivedha,someone is clearly a wannable haha 😂,"Sep 04, 2018",431,3,2022-12-28,3
6,12816,324218,2018-09-05,Momojojo93,I bet he's deciding when to give back the other half of that key chain! lol stop staring and give it to her dude.,"Sep 04, 2018",395,1,2022-12-28,3
6,12816,324218,2018-09-05,seongja(성자),"Theory of where this story is going: So the guy from the bookstore is not gonna recognize her, but in some type of strange way he’s gonna see her again wearing the backpack with the little head missing, but she won’t be wearing make up. He’s gonna ask her is she jeong lim. That’s when I think she’s gonna lie and say she’s not her but her twin sister and give a false name. From there she’s gonna pretend to be two different people but the guy will fall for her with the make up on. However","Sep 05, 2018",275,3,2022-12-28,14
7,14137,340341,2018-09-12,KORO-SENSEI IS HOT,I think he will fall for the “ugly” side of her. (Thanks for the likes :D),"Sep 11, 2018",230797,916,2022-12-28,259
7,14137,340341,2018-09-12,Arie0901,I like how he might fall in love with the real her rather than her wearing make up. I think its better to fall in love with someone who can be with you with your natural looks😊-EDIT- This is my first top comment! Thank you!! ,"Sep 11, 2018",175790,730,2022-12-28,96
7,14137,340341,2018-09-12,Oh hello,Get yourself a guy who doesn’t judge your looks but your personality ,"Sep 11, 2018",29918,60,2022-12-28,52
7,14137,340341,2018-09-12,This user has been deleted.,This comment has been deleted.,,0,0,2022-12-28,374
7,14137,340341,2018-09-12,MisterStealYourMango,Wait he blushed because she recommended him some comics...? *proceeds to wait at the comic store for hot guy to come and I can recommend him something and something like this can happen*,"Sep 11, 2018",3216,4,2022-12-28,17
7,14137,340341,2018-09-12,athene_,"""IS THIS EVEN THE SAME GUY FROM SCHOOL!?"" yeah, look who's talking..","Sep 11, 2018",2822,2,2022-12-28,14
7,14137,340341,2018-09-12,Gcherry64,"She LOOKS completely different, he ACTS completely different. ","Sep 11, 2018",1821,2,2022-12-28,10
7,14137,340341,2018-09-12,Nana-kun,I feel this is lookism but with makeup,"Sep 11, 2018",1190,17,2022-12-28,14
7,14137,340341,2018-09-12,soffboys,"it's like a combo of lookism + cheese in the trap in that he likes her ""ugly"" state because she's more down to earth and he can show his true self to her. whereas he probably thinks her ""pretty"" self is like all the other girls trying to talk to him and get his number and be besties because he's cute, thus the cold demeanor because he thinks everyone is fake.","Sep 11, 2018",1074,5,2022-12-28,6
7,14137,340341,2018-09-12,ilynie,To be honest I don’t thing her “ugly” side is actually ugly ,"Sep 11, 2018",894,6,2022-12-28,16
7,14137,340341,2018-09-12,zoeet,we stan an intellectual man (?),"Sep 11, 2018",659,2,2022-12-28,1
7,14137,340341,2018-09-12,gmd321,So he likes the real her but doesn’t like the beautiful her. How cute. This is so interesting 😍😍,"Sep 11, 2018",623,1,2022-12-28,5
7,14137,340341,2018-09-12,anonymous,plot twist: the guy uses makeup too 😂,"Sep 11, 2018",585,14,2022-12-28,16
7,14137,340341,2018-09-12,thee_rainbowrider,She is beauty she is grace she knows how to make those faces ,"Sep 11, 2018",464,1,2022-12-28,3
7,14137,340341,2018-09-12,grayismine,OMG I feel like he’s gonna ask for her number and then he’s gonna realize that she’s her,"Sep 11, 2018",351,1,2022-12-28,6
8,12958,324836,2018-09-19,CrystalPiggy,Lol watch the boy use makeup too,"Sep 18, 2018",216183,1088,2022-12-28,291
8,12958,324836,2018-09-19,🐞 TheLadybug 🐞,EXPOSED,"Sep 18, 2018",141218,429,2022-12-28,70
8,12958,324836,2018-09-19,Justsomebody🙃,I'm telling you. this is just like lookism lololol,"Sep 18, 2018",108049,2493,2022-12-28,322
8,12958,324836,2018-09-19,lizzie1430,it was her bag that gave her awah,"Sep 18, 2018",3947,3,2022-12-28,15
8,12958,324836,2018-09-19,TSG(thesingaporegem),HE KNOWSSSSS. HE KNOWSSSS. ALL ABOARD THE SHIP. ONWARDS MY FRIENDS! ,"Sep 18, 2018",2666,3,2022-12-28,9
8,12958,324836,2018-09-19,Lulu Ma,Lol “pimply girl in glasses and a sweatsuit”,"Sep 18, 2018",2202,2,2022-12-28,11
8,12958,324836,2018-09-19,Mrs.Ryu,"Huh, I wonder how he’s going to act around her now at school. 🤔 He now has confirmed his su***ions that they are the same person. So, maybe there’s going to be a slight different with how he acts around her at school. Maybe slightly friendlier? I’m pretty sure he won’t tell her secret to anyone because he doesn’t seem like a douche. Also, I’m betting that the reason why he turned sour was because of somebody screwing him over or breaking his heart.  ","Sep 18, 2018",1345,0,2022-12-28,13
8,12958,324836,2018-09-19,toxic ⚠️,"The webtoon is called “True Beauty” for a reason. He isn’t going to fall for her face, but her inner beauty and for the person she is. Keep him.","Sep 18, 2018",1233,0,2022-12-28,5
8,12958,324836,2018-09-19,Dean August,Bruhhhhhh SHE HAS ON CROCS YESSSS,"Sep 18, 2018",1128,4,2022-12-28,13
8,12958,324836,2018-09-19,Sukiday,"hey creator, what shampoo or conditioner do you use for your characters?! lol","Sep 18, 2018",829,0,2022-12-28,7
8,12958,324836,2018-09-19,Hope1618,Lmao I am glad he knows 😂 maybe because of her backpack🤔😂,"Sep 18, 2018",413,0,2022-12-28,5
8,12958,324836,2018-09-19,xoxOCELOTxox,QUE THE BACK STORY!!!,"Sep 18, 2018",410,0,2022-12-28,1
8,12958,324836,2018-09-19,Denise Santos,BACKPACK!!! EXPOSER OF SECRECY ,"Sep 18, 2018",369,0,2022-12-28,1
8,12958,324836,2018-09-19,Roxyyo6931,Plotwist: suho wears make up too,"Sep 18, 2018",309,4,2022-12-28,4
8,12958,324836,2018-09-19,Lavender Girl,THE SECRETS OUT...ALEXA PLAY IN MY FEELINGS,"Sep 18, 2018",247,0,2022-12-28,3
9,10767,320450,2018-09-26,Lumi_Cassette,Top 10 Face Reveals Gone Horribly Wrong {{holy quiznak how’d this get top comment???}},"Sep 25, 2018",167265,671,2022-12-28,436
9,10767,320450,2018-09-26,NerdsUnited,"I'm confused, does he like her or no??¿??????","Sep 25, 2018",138437,936,2022-12-28,213
9,10767,320450,2018-09-26,Fake love BTS  😘,Talking to my crush be like 😂😂,"Sep 25, 2018",111588,745,2022-12-28,188
9,10767,320450,2018-09-26,💜 Kesivik,I can tell he has no intention of exposing her but he’s just messing with her. He seems like a cool guy. Like he’s going to be an ally. I also really appreciate he wasn’t overly shocked she looked like that without makeup. He seemed really chill about it which means he’s actually a cool guy. ,"Sep 25, 2018",4699,7,2022-12-28,19
9,10767,320450,2018-09-26,aorie_,She’s avoiding him like I’m avoiding reality ,"Sep 25, 2018",2483,20,2022-12-28,12
9,10767,320450,2018-09-26,ollio,HOW_LOW_A_PERSON_CAN-GET.jpg Literally my life,"Sep 25, 2018",2322,4,2022-12-28,6
9,10767,320450,2018-09-26,senkiiy,SUHO DONT BE A SUHOE,"Sep 25, 2018",1590,11,2022-12-28,21
9,10767,320450,2018-09-26,ramenreeree,dis boy be wearing makeup too,"Sep 25, 2018",1241,23,2022-12-28,13
9,10767,320450,2018-09-26,anonymous,Meanwhile: *Suho proceeds to put on layers of highlighter*,"Sep 25, 2018",1135,4,2022-12-28,5
9,10767,320450,2018-09-26,totesmahgoats,"Tsk  Tsk, kids these days starting cults whenever they want.","Sep 25, 2018",982,4,2022-12-28,10
9,10767,320450,2018-09-26,Where's Waldo,Please let him be a fellow makeup user because there is no way his cheekbones could be THAT shiny without highlight,"Sep 25, 2018",862,2,2022-12-28,5
9,10767,320450,2018-09-26,Meguminishi,Gurl... what kinda friends you have? They haven’t even seen you without makeup... #trustissues ,"Sep 25, 2018",550,3,2022-12-28,5
9,10767,320450,2018-09-26,Sara,He probably wasn’t going to tell anyone in the first place and wants to mess with her lol,"Sep 25, 2018",518,1,2022-12-28,2
9,10767,320450,2018-09-26,Rafyra,Can someone turn this into a kdrama already?,"Sep 25, 2018",418,1,2022-12-28,21
9,10767,320450,2018-09-26,anonymous,"""be honest"" got rejected in place of ""yell out he's in a cult and run away"". nice one brain.","Sep 25, 2018",328,0,2022-12-28,0
10,10912,323613,2018-10-03,SpinalFluidDrinker,"you don't need makeup Jugyeong, you are out gorgeous cinnamon roll and don't you ever forget that.","Oct 02, 2018",162843,1210,2022-12-28,149
10,10912,323613,2018-10-03,Eeehaha,maximum_awkwardness.txt sums up me when talking to any real human being. ,"Oct 02, 2018",115041,417,2022-12-28,58
10,10912,323613,2018-10-03,aethillie,Suho attracting all the Suhoes,"Oct 02, 2018",67537,313,2022-12-28,186
10,10912,323613,2018-10-03,This user has been deleted.,This comment has been deleted.,,0,0,2022-12-28,35
10,10912,323613,2018-10-03,Rosa 1299,"did anyone notice he said ""they don't know what their talking about"" after she said that people would say that she wasn't good enough to be with him? ","Oct 02, 2018",3901,2,2022-12-28,27
10,10912,323613,2018-10-03,anonymous,"I feel like any girl would DIE to go out with Suho, but then Jugyeong is like ""WHYYYYY"" It's hilarious XD","Oct 02, 2018",2541,11,2022-12-28,10
10,10912,323613,2018-10-03,catalana,That other girl I bet it’s his ex that’s why he has a terrible personality against girls he prob don’t like girls who are girly af ,"Oct 02, 2018",1573,26,2022-12-28,19
10,10912,323613,2018-10-03,nennyboo,"Omg I love him, he is not an ass, he is just so shy he comes off as rude therefore no one likes him lol! ","Oct 02, 2018",1294,2,2022-12-28,4
10,10912,323613,2018-10-03,anonymous,"“I don’t have any friends” Friends? What are those, I don’t have any.","Oct 02, 2018",1092,8,2022-12-28,13
10,10912,323613,2018-10-03,KirstenShenn,"Jugyeong’s actually really pretty without makeup on, she just doesn’t realize it 😪","Oct 02, 2018",924,18,2022-12-28,11
10,10912,323613,2018-10-03,COMICFan1245,"""captain, there is an enemy ship approaching. What do we do?""","Oct 02, 2018",724,5,2022-12-28,14
10,10912,323613,2018-10-03,jujuportugal,Awww it’s a daaattteee 💕,"Oct 02, 2018",607,2,2022-12-28,4
10,10912,323613,2018-10-03,A Lost Cat,"NO LOVE TRIANGLES PLEASE, BACK OFF RANDOM BLACK HAIR","Oct 02, 2018",580,7,2022-12-28,8
10,10912,323613,2018-10-03,elllineup,"I really appreciate the ways this comic plays into and diverts romcom tropes.For example, there are sooo many “acts like a jerk to the girl he likes” love interests out there, but what I like about this guy is that he pays attention. He listens to her interests and keeps them in mind, i.e taking her to a movie she was “dying to see”. And that it’s heavily implied in the dialogue that he would have no problem being seen with her without makeup! It’s refreshing, sweet & I love them both :)","Oct 02, 2018",482,1,2022-12-28,6
10,10912,323613,2018-10-03,SevenDeadlySins,NEW HUMAN WHO DIS,"Oct 02, 2018",457,0,2022-12-28,5
11,10975,308700,2018-10-10,孤爪白,"Okay, so As Per Usual, this webtoon is a bit unOrdinary, and the author might of gotten stuck like Cheese in the Trap, but they haven’t conquered the Tower of God or was the God of Highschool. They may not be hiding a Super Secret, be a True Beauty and have good Lookism, and don’t think that their Age Matters. Because we're Always Human, don't let them feel a Siren's Lament, and while we’re in this Small World, let them rest in their Sweet Home, give them April Flowers and tell them I Love Yoo!","Oct 09, 2018",159625,8683,2022-12-28,999
11,10975,308700,2018-10-10,mighty mitochondria ,WTF she’s complaining about like 2 pimples while my face looks like Mars...,"Oct 09, 2018",143461,764,2022-12-28,406
11,10975,308700,2018-10-10,Extravagent Goat,Shit's gonna go down in history. Oh ma gawd this is the most replies to a comment I’ve ever received! Tysm!,"Oct 09, 2018",80680,683,2022-12-28,31
11,10975,308700,2018-10-10,happymochi♡⃛(ू•ᴗ•ू❁),"""shes not even that pretty"" *adds as friend* ","Oct 09, 2018",4220,3,2022-12-28,33
11,10975,308700,2018-10-10,PaintedWords,This boy actually threw his damn hoodie and told her it was cold...can ya’ll get more tsundere  ,"Oct 09, 2018",3006,3,2022-12-28,13
11,10975,308700,2018-10-10,Fries_fanatic٩( ᐛ )و,Anyone have snake repellent?,"Oct 09, 2018",2414,5,2022-12-28,23
11,10975,308700,2018-10-10,-icallyouher,"suho protecc, he attacc, and he gave the kitten a snacc. ","Oct 09, 2018",2347,17,2022-12-28,16
11,10975,308700,2018-10-10,cloudwalker_,Suho is being quite a gentleman for a cult leader,"Oct 09, 2018",1726,6,2022-12-28,8
11,10975,308700,2018-10-10,Haruka Tsukiko ,“ShEs So UGLY! WhY wOuLd AnYoNe WaNt To Be FrIeNdS wItH hEr?!” *friends her* “so ugly.”,"Oct 09, 2018",1340,7,2022-12-28,5
11,10975,308700,2018-10-10,bleuuu,his ass tho ,"Oct 09, 2018",1162,8,2022-12-28,33
11,10975,308700,2018-10-10,Why tho?,WHO IS THIS THOT?!?,"Oct 09, 2018",696,5,2022-12-28,5
11,10975,308700,2018-10-10,Justsomebody🙃,"""what the heck? shes not even that pretty"" *adds her as a friend* thats when u know she a thot","Oct 09, 2018",683,7,2022-12-28,4
11,10975,308700,2018-10-10,Jeido~,That sweater he gave her. It's made from boyfriend material.,"Oct 09, 2018",585,1,2022-12-28,7
11,10975,308700,2018-10-10,RubixWerewolf,"""Shes not even that pretty"" *continues to stalk her entire facebook page*","Oct 09, 2018",586,3,2022-12-28,3
11,10975,308700,2018-10-10,Adja Joney,I SMELL A SNAKE,"Oct 09, 2018",569,2,2022-12-28,6
12,10317,303039,2018-10-17,cookies and monsters,Q-Tip is needed here,"Oct 16, 2018",46152,264,2022-12-28,297
12,10317,303039,2018-10-17,Forest1104,“I had no idea what was coming”  Me before my math tests ,"Oct 16, 2018",39810,59,2022-12-28,55
12,10317,303039,2018-10-17,Aileen.bean,"JOKES ON YOU SNAKE! IF YOU TRY TO EXPOSE HER NO MAKE UP FACE, SUHO ALREADY KNOW WHAT SHE LOOKS LIKE AND HE STILL LIKES HER 🌚","Oct 16, 2018",22707,40,2022-12-28,34
12,10317,303039,2018-10-17,This user has been deleted.,This comment has been deleted.,,0,0,2022-12-28,250
12,10317,303039,2018-10-17,This user has been deleted.,This comment has been deleted.,,0,0,2022-12-28,86
