title,author,genre,status,release_day,views,subscribers,rating,chapter,comments,total_comments,likes,total_likes,date,user,comment_body,post_date,upvotes,downvotes,reply_count,scrape_date,season
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,1,8008,1883971,377719,60143294,2018-03-04,Surreal Lane,*Vomits Rainbow* It’s Here!,"Mar 03, 2018",95,7,0,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,4339,1883971,305341,60143294,2018-03-04,Erin D. H.,YES MY GOD YES. MY DISCOVER BABY IS FINALLY HERE!!,"Mar 03, 2018",50985,783,28,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,4339,1883971,305341,60143294,2018-03-04,Grace1517,DISCOVER SQUAD ASSEMBLE,"Mar 03, 2018",34899,954,60,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,4339,1883971,305341,60143294,2018-03-04,Noodlekatz,YES YES YES YES! I'VE BEEN WAITING! WELCOME BACK!,"Mar 03, 2018",33532,590,6,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,4339,1883971,305341,60143294,2018-03-04,QuezClark,"“CAN YOU PLEASE NOT TALK ABOUT MY BALLS. OR MY ASS, FOR THAT MATTER.”—Hades.Quote of the chapter 🎉","Mar 03, 2018",1534,6,11,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,4339,1883971,305341,60143294,2018-03-04,sungyoon93,"to people that hates this myth because of kidnaping and sorts, let me say... By FAR Persephone has the most loving Husbando in all Olympus: he gave her the same level of authority as his in the underworld affairs, he NEVER cheated on her, protected her from idiots... Hades showers her with love and respect her wishes","Mar 03, 2018",1310,11,15,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,4339,1883971,305341,60143294,2018-03-04,nobody !,"""who is she?"" YOUR NIECE!","Mar 03, 2018",843,14,15,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,4339,1883971,305341,60143294,2018-03-04,emberite.10,Only Greek mythology nerds will truly understand Poseidon's anger towards Odysseus 😂😂,"Mar 03, 2018",686,4,18,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,4339,1883971,305341,60143294,2018-03-04,Dulce16,"Persephone sweetie, that dress is just a tad...too...short...like how are you walking? 😂 ","Mar 05, 2018",585,3,8,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,4339,1883971,305341,60143294,2018-03-04,inofanmegastar,Aren't his balls ALWAYS blue tho?,"Mar 05, 2018",479,3,4,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,4339,1883971,305341,60143294,2018-03-04,MmmLemon🍋,I like her first dress choice. the gold is nice too,"Mar 03, 2018",396,0,6,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,4339,1883971,305341,60143294,2018-03-04,Arrow_The_Archer,I like how Zeus and Hades are both wearing suits and Poseidon is wearing a t-shirt with a man bun drinking some beer and generally looking like he doesn't give a shit,"Mar 30, 2018",360,2,5,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,4339,1883971,305341,60143294,2018-03-04,BuddyBuddyM,hades: whos she?? 😍Zeus:my daughter 😑,"Mar 04, 2018",319,2,4,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,4339,1883971,305341,60143294,2018-03-04,Xikana,"Omg the Odyssey reference. I guess Poseidon is still pretty salty about the whole ""I-killed-your-son-sorry-but-not-sorry"" thing. lol 😂 I'll leave now. ","Mar 05, 2018",262,0,4,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,4339,1883971,305341,60143294,2018-03-04,Riley “Dark Shadow Queen” Wakeshima,"I just wish that all of the gods and goddesses would RESPECT hades because without hades all mortals would live forever (no death) & New lives such as babies or children wouldnt be born.  ""with death it makes way for new life"". ","Mar 04, 2018",185,1,8,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,2,4339,1883971,305341,60143294,2018-03-04,sMoOth ( ͡° ͜ʖ ͡°) ,"""Who is she? She's beautiful"" Me when I got my new dog","Mar 04, 2018",150,0,1,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,3,3396,1883971,291328,60143294,2018-03-04,🥔Potato of Fate✨,When you know know someone talking sh*t about you although you are on the other side of the room. ,"Mar 03, 2018",98010,233,80,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,3,3396,1883971,291328,60143294,2018-03-04,Halogens,OH MY GOD. IT'S HERE. ITS FEATURED. AMAZING,"Mar 03, 2018",35347,498,5,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,3,3396,1883971,291328,60143294,2018-03-04,Raylen,I like how Aphrodite and her son casually talk about polos and orgies lmao I love this comic,"Mar 03, 2018",31252,62,25,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,3,3396,1883971,291328,60143294,2018-03-04,This user has been deleted.,This comment has been deleted.,,0,0,45,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,3,3396,1883971,291328,60143294,2018-03-04,KBallina,Their mother son dynamic is something I both love and hate,"Mar 03, 2018",1620,3,2,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,3,3396,1883971,291328,60143294,2018-03-04,HappyOyster,Eros is out here coordinating orgies and I can't even get a date,"Mar 03, 2018",1378,4,5,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,3,3396,1883971,291328,60143294,2018-03-04,phish,He puts his glasses on because persephone's beauty is making him go blind,"Mar 03, 2018",1112,1,1,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,3,3396,1883971,291328,60143294,2018-03-04,crazy4heroes,Greek myth has several love stories gone wrong because someone said they looked better than Aphrodite. shes sensitive to that 😂😂😂. and I like how Zeus hasnt given the real reason or at least the reason agmccording to myth with demeter hates his guts ,"Mar 03, 2018",905,1,12,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,3,3396,1883971,291328,60143294,2018-03-04,Tiny_Dragon*,Aphrodite’s reaction is 100% accurate to the myths. XD She’s probably plotting Persephone’s murder right now. ,"Mar 03, 2018",718,1,2,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,3,3396,1883971,291328,60143294,2018-03-04,Summer Brotman,When Zeus says he’s “morally corrupt” he totally is. You have any idea how many woman he’s technically raped? A woman even turned herself into a bush to get away from him. Juuusst sayin. ,"Mar 05, 2018",659,0,8,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,3,3396,1883971,291328,60143294,2018-03-04,Lepidocrocite,"I just know Aphrodite's gonna be petty, I can feel it in my psyche. ","Mar 05, 2018",466,2,9,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,3,3396,1883971,291328,60143294,2018-03-04,drfrostisback,"Zeus said ""it's complicated"" because Persephone is his freaking DAUGHTER ","Mar 19, 2018",366,3,9,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,3,3396,1883971,291328,60143294,2018-03-04,ddddayna,"Hades: Honestly, I think she puts Aphrodite to shame!Aphrodite: TRIGGERED","Mar 04, 2018",290,0,0,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,3,3396,1883971,291328,60143294,2018-03-04,Loura26,"""I DO NOT CARE ABOUT DEMETER'S  TAXES!"" Like if you get it 😉","Mar 03, 2018",188,0,4,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,3,3396,1883971,291328,60143294,2018-03-04,Lynnifer Ice,"""This orgy isn't gonna run itself"" oh my gawd...I'm dying hahahahaha","Mar 03, 2018",177,0,0,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,4,3786,1883971,281571,60143294,2018-03-04,J-Hope World,So invested in their relationship already and they.. haven't even spoken. 😂😍 Hopefully she remembers what happened! (did he bring her to his house because she felt uncomfortable/Eros drugged her?),"Mar 03, 2018",56234,340,77,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,4,3786,1883971,281571,60143294,2018-03-04,Bden,Your hard work has definitely paid off!! All the rework has added so much valuable information about their first meeting and the dynamic of everyone on Olympus. I'm so happy to finally see you on Discover and so glad everyone else gets to know about this great story!!! ,"Mar 03, 2018",32709,369,10,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,4,3786,1883971,281571,60143294,2018-03-04,Bio Jellies,I would feel so much better if I didn't see people flooding the first several episodes flooded with Discover comments. Yes you want to find people who were there with you while it was still in Discover but does it have to conquer all the top comments in all the recently released episodes? Sometimes newbies to the series just want to see comments related to the episode up there for once!,"Mar 04, 2018",11961,163,40,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,4,3786,1883971,281571,60143294,2018-03-04,This user has been deleted.,This comment has been deleted.,,0,0,122,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,4,3786,1883971,281571,60143294,2018-03-04,lilacbean,Hold up. Didnt she JUST have a pixie cut? How long has she been there her hair is like goddamn rapunzel! Demeter is going to be PISSED!,"Mar 03, 2018",1296,7,10,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,4,3786,1883971,281571,60143294,2018-03-04,Scarlett08,"True Hades is depicted as kidnapping Persephone, but maybe that’s what Aphrodite want everyone to think...to ruin Hades’s prospects with Persephone. That looks like Hades’s bed, seeing the 3 headed dog in the background. Persephone will most likely come to the conclusion that Hades brought her there and raped her, this souring their relationship. Just a theory though ","Mar 04, 2018",649,5,6,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,4,3786,1883971,281571,60143294,2018-03-04,mooncomic,anyone else loves how the author changed the story a bit,"Mar 03, 2018",284,3,7,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,4,3786,1883971,281571,60143294,2018-03-04,Bishop556,I must say this rendition of greek mythos is very nicely adapted to modern times. You still get the core concept of the tale aswell. I applaud you author-sama. ,"Mar 03, 2018",266,3,2,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,4,3786,1883971,281571,60143294,2018-03-04,lrlmsn42,"*Too bad Artemis hates you*-to be fair, Artemis hates pretty much everyone, especially if they have a dick...","Jan 17, 2019",241,1,9,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,4,3786,1883971,281571,60143294,2018-03-04,Michelle Liu,Eros looks like the white boy in a cul de sac,"Mar 04, 2018",219,4,4,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,4,3786,1883971,281571,60143294,2018-03-04,i~am~boba☆,We got Eros over here looking like a basic white boy,"Jul 17, 2018",171,2,3,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,4,3786,1883971,281571,60143294,2018-03-04,OneBlackHat,"Wow. Has anyone else noticed how cute Hades is with glasses? Also I aready love the brothers. Posiden is the cute dummy, Zeus is the sly smooth talker and Hades is the loner.","Sep 30, 2018",129,0,5,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,4,3786,1883971,281571,60143294,2018-03-04,VampireThembo,Poseidon casually sipping his beer while Hades oozes angst beside him is a mood tbh,"Mar 29, 2018",111,1,1,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,4,3786,1883971,281571,60143294,2018-03-04,Natitheunicorn,NOOO I NEED TO PROTECT MY PERSEPHONE 😭😭😭 ,"Mar 03, 2018",89,1,1,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,4,3786,1883971,281571,60143294,2018-03-04,audracaelin,ITS SO ODD TO ME THAT SOME PEOPLE HAVE NO KNOWLEDGE OF THIS WEBTOON AND THE FEELS IT HOLDS. HOLD ON TO YOUR HATS KIDDIES. WE GOIN ON A RIDE. ,"Mar 03, 2018",108,9,1,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,5,6313,1883971,290924,60143294,2018-03-11,Gigisinger,❤️ Hades is such a gentleman😢 ,"Mar 10, 2018",160743,282,98,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,5,6313,1883971,290924,60143294,2018-03-11,Maddie1137,"If this is following the myth of Eros and Pysche, it sucks that he hasn't been reunited with her..","Mar 10, 2018",73031,420,82,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,5,6313,1883971,290924,60143294,2018-03-11,Izzy'n' a Tizzy,“She’s the personification of a cinnamon roll. A pink cinnamon roll.”Eros is one of the fandom,"Mar 10, 2018",28038,40,22,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,5,6313,1883971,290924,60143294,2018-03-11,This user has been deleted.,This comment has been deleted.,,0,0,35,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,5,6313,1883971,290924,60143294,2018-03-11,Hoshi Hoodie,"People wonder why Aphrodite doesn't like the sweet cinnamon roll known as Persephone, I say that it's because she's made of SALTY sea foam!..... Okay, I leave.","Mar 10, 2018",2398,2,18,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,5,6313,1883971,290924,60143294,2018-03-11,Persaphire,“WHY ARE YOU JEALOUS OF A CINNAMON-ROLL?!” Best. Line. Ever.,"Mar 10, 2018",2102,2,3,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,5,6313,1883971,290924,60143294,2018-03-11,Infernalangels,"Hades is the only god I like in Greek Mythology. All the other Gods raped, stole, killed, but Hades basically just did his damn job.","Mar 10, 2018",1583,5,25,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,5,6313,1883971,290924,60143294,2018-03-11,Fireflye,"See, even Eros knows about how much of a cinnamon roll she is.","Mar 10, 2018",1282,1,1,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,5,6313,1883971,290924,60143294,2018-03-11,（＾◇＾） | （＾ν＾） ,Aphrodite: the pettiest goddess on Olympus. Persephone: a pink adorable cinnamonroll.,"Mar 10, 2018",1205,6,4,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,5,6313,1883971,290924,60143294,2018-03-11,urmumbiggay,"""I might be a lot of things but I ain't no snitch"" Hades must be hella fun to hang out with. EDIT:ur mum gay lol","Mar 10, 2018",908,13,17,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,5,6313,1883971,290924,60143294,2018-03-11,KDreader02,"Goodness, Hades has to be one of the best gentlemen in all of Webtoons. He’s seriously raising the standards for male romance leads, XD ","Mar 10, 2018",818,3,3,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,5,6313,1883971,290924,60143294,2018-03-11,howlscastlemoved🖤,"Okay, let’s talk about consent and how Hades follows it! She’s drunk and he doesn’t take advantage of her! TAKE NOTES PEOPLE. TAKE NOTES. ","Mar 10, 2018",755,2,7,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,5,6313,1883971,290924,60143294,2018-03-11,SammyTheNerdlord,(Deep Inhale) SO. PURE. ,"Mar 10, 2018",553,0,3,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,5,6313,1883971,290924,60143294,2018-03-11,bugsy1.618,"eeepppp!! the way he calls her ""sweetness"" ... where can I get a Hades ??","Mar 10, 2018",408,0,1,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,5,6313,1883971,290924,60143294,2018-03-11,(」ﾟヘﾟ)」4ᖇᙓᗩᒪ,;-; hades is such a caring man for the title of the ruler of the underworld Edit: thanks for all the comments and facts 👍🙌,"Mar 10, 2018",406,0,12,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,6,5321,1883971,287414,60143294,2018-03-18,Makaayplays*,"""man how big is this place?"" me: How big is your hair???","Mar 17, 2018",172644,313,102,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,6,5321,1883971,287414,60143294,2018-03-18,♤latinoborritos♤,PERSEPHONE THICCCCCC LIKE Honestly,"Mar 17, 2018",140801,1073,109,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,6,5321,1883971,287414,60143294,2018-03-18,Fireflye,Demeter needs to CHILL,"Mar 17, 2018",96950,389,50,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,6,5321,1883971,287414,60143294,2018-03-18,Random Person,It's sad that the reason why Demeter was so protective over Persephone was because Demeter was raped by Zues and so Demeter was so violently over bearing with Persephone because she never wanted that to happen to her,"Mar 17, 2018",3857,9,26,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,6,5321,1883971,287414,60143294,2018-03-18,kerry0niell,'time to make a swift exit' *proceeds to get lost *,"Mar 17, 2018",2111,2,6,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,6,5321,1883971,287414,60143294,2018-03-18,Bookatopia-1227,IS ANYONE GOING TO TALK ABOUT HOW HER HAIR WENT FROM A PIXIE CUT TO RAPUNZEL HAIR?!?!?!?!?!,"Mar 17, 2018",1914,4,13,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,6,5321,1883971,287414,60143294,2018-03-18,Sanjeev_969,Is It Just Me or Was That Like Super Sexy The Way He Came Up Behind Her 😍😍,"Mar 17, 2018",1199,8,12,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,6,5321,1883971,287414,60143294,2018-03-18,kue_serabi🍵✅,I got so scared when it turned all red 😨,"Mar 17, 2018",715,3,5,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,6,5321,1883971,287414,60143294,2018-03-18,Nevermore626,I am officially referring to Persephone and Hades as Persades!!! who's with me?!,"Mar 17, 2018",693,13,13,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,6,5321,1883971,287414,60143294,2018-03-18,Makaayplays*,when you go from reading Percy Jackson to reading Lore Olympus😍,"Mar 17, 2018",581,8,25,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,6,5321,1883971,287414,60143294,2018-03-18,Lichen28,PERSEPHONE WHAT IS YOUR POSTURE ,"Mar 17, 2018",561,2,5,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,6,5321,1883971,287414,60143294,2018-03-18,Donnie Balidemaj,Did he follow her hair to find her??? ,"Mar 18, 2018",459,1,5,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,6,5321,1883971,287414,60143294,2018-03-18,starr.casm,For a second there is Persephone's dream was a flashback and i was just like DANG I KNEW DEMETER WAS PROTECTIVE BUT HOLY SHITE!,"Mar 17, 2018",321,1,4,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,6,5321,1883971,287414,60143294,2018-03-18,Katie B Katie,"Why, hello tall, dark, and handsome.","Mar 18, 2018",257,1,2,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,6,5321,1883971,287414,60143294,2018-03-18,MorelerMetz32,I’m obsessed with this webtoon😝,"Mar 17, 2018",220,3,4,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,7,4648,1883971,276834,60143294,2018-03-25,Maddie1137,"Proof that Persephone is even more of a cinnamonroll: she can tame Cerberus, one of the most terrifying gatekeepers of the Underworld. 😂 ","Mar 24, 2018",147645,265,85,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,7,4648,1883971,276834,60143294,2018-03-25,Novaanight,"she got so flustered by her connection with hades , a flower crown popped up 😂","Mar 24, 2018",126751,239,40,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,7,4648,1883971,276834,60143294,2018-03-25,i'm on a hellevator ,Okay but Persephone just looks so fluffy and adorable with the clothes he gave her..,"Mar 24, 2018",105752,297,54,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,7,4648,1883971,276834,60143294,2018-03-25,WilderNESS,You look sufficient. OKAY QTIP,"Mar 24, 2018",2354,1,21,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,7,4648,1883971,276834,60143294,2018-03-25,LonelyPlanet,cerberus: 1hades: 0,"Mar 24, 2018",2012,3,4,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,7,4648,1883971,276834,60143294,2018-03-25,ティエリア,“it’s not like i’m going to wear it” ...i want to see him wear the coat now.,"Mar 24, 2018",1774,3,11,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,7,4648,1883971,276834,60143294,2018-03-25,Kokobeans12,first of all DAMN HADES U LOOKIN FINE. second PERSEPHONE OMG GURL U LOOKIN GOOD IN THAT SWEATER/FLOOFY JACKET,"Mar 24, 2018",1107,3,1,2023-01-03,1
Lore Olympus,Rachel Smythe,romance,ongoing,sunday,1200000000,6100000,9.68,7,4648,1883971,276834,60143294,2018-03-25,xCaptainBookx,Does the flower crown respresent Persophone being turned on?,"Mar 24, 2018",855,7,11,2023-01-03,1
