site,season,season_chapter,overall_chapter,upvotes,downvotes,reply_count,comment_text,date
naver,1,0,1,5491,290,2,라크가 '모든 것을 초월한 어떤 것'이 아니라 라크가 탑을 오르는 이유가 그 어떤 것이라는 겁니다 난독분들아.,"Jun 07, 2015"
naver,1,0,1,642,51,9,정주행하러 오신분 한번씩만 누르고 가요 2019년 배댓 만듭시다,"Jul 28, 2019"
naver,1,1,2,73334,5670,91,저때는 라헬이 착할줄알았어 망할,"May 18, 2013"
naver,1,1,2,45040,969,15,"진짜 작가님은 데뷔작이 이정도임... 데뷔작인데 월요웹툰 1위는 물론이고 웹툰중에서 유명한 것들하고 1,2위를 다투는데 데뷔작! 이건 축복이다","May 11, 2013"
naver,1,1,2,41984,1013,13,처음에 이부분보고 재미없다하고 1년후인 지금 정주행만 50번정도했다지,"May 16, 2013"
naver,1,1,2,41721,760,8,"헤돈, 주인공의 이름을 정리한자.","May 18, 2013"
naver,1,1,2,26577,713,8,여러분은 지금 레전드가 시작되는걸 보고 계십니다.,"May 17, 2013"
naver,1,1,2,21356,796,4,"데뷔작이 전설이 되었고 데뷔작은 조회수 전설 노블레스와 1,2위를다투고 있고대작이 되었다.......;;;;ㅎㄷㄷ","May 17, 2013"
naver,1,1,2,14019,491,2,전설의 시작!,"May 12, 2013"
naver,1,1,2,12687,1371,6,라헬 싫다,"May 16, 2013"
naver,1,1,2,10422,583,2,여러분들은 지금 전설울 보고계십니다,"May 18, 2013"
naver,1,1,2,9950,487,3,정주행 할 때마다 느끼는 거지만 라헬은 갈 수록 못생겨져 간다는게 함정. 다른애들 다 반짝반짝. 내가 최고에요 할때 라헬은 이 때가 제일 이뻤어ㅋㅋㅋ,"Jun 03, 2013"
naver,1,1,2,7665,367,5,이거보고 재미없다고 1년을 썩혔더랬지,"May 21, 2013"
naver,1,1,2,7471,503,5,처음보시는분들은우리가왜라헬을욕하는지모른다.,"Dec 05, 2013"
naver,1,1,2,6302,278,1,진짜 이 전설같은 웹툰은 안보고서는 진짜 후회할 명작이다 소름돋아.. 신의탑의 시작이라니..그것도 데뷔작이라니..!,"May 22, 2013"
naver,1,1,2,6285,172,1,저 헤돈은 눈이랑 입이 통일되어 있음?얼굴 갈라진 곳에 눈도 보이고 입도 보이네,"May 21, 2013"
naver,1,1,2,413,5,14,다들 코로나땜시 못나가니까 할게없나봐 ㅋㅋㅋ 다 정주행하러오네,"Feb 25, 2020"
naver,1,2,3,35047,509,12,이때까지만 해도 내가 더쿠가 될줄은 몰랐지....,"May 14, 2013"
naver,1,2,3,32693,635,7,..뎃글들이 첫주행하는 사람의 마음을 두렵게하는군요 ㅋ  덕후라니 ㅋ,"May 19, 2013"
naver,1,2,3,22910,602,8,이때까지만 해도 신탑 덕후가될진 몰랏지,"May 15, 2013"
naver,1,2,3,19480,449,4,유리 예쁜거 인정 ㅇㅇ,"May 17, 2013"
naver,1,2,3,18462,307,3,(얼굴이) 마음에 들었을뿐이야,"May 19, 2013"
naver,1,2,3,13919,515,3,역시 유리는 1부에서 예뻤어,"May 16, 2013"
naver,1,2,3,12730,207,5,분량보소ㅠㅠㅜ진심 은혜로움..,"May 19, 2013"
naver,1,2,3,10450,232,0,신의 탑 최하층이 중요한건 중요한듯 ㄷㄷ,"May 18, 2013"
naver,1,2,3,7685,470,0,그 A급 포켓이 나중의 밤을 알아차리게 할 줄은 몰랐지,"May 23, 2013"
naver,1,2,3,7467,162,1,'그' 유리의 킥을 맞고도 밤의 얼굴은 멀쩡하다니... 밤 얼굴에는 안면쉴드라도 있는걸까요 ㅋㅋㅋㅋ?,"May 23, 2013"
naver,1,2,3,5879,172,4,최근의 밤이랑 천지차이,"May 22, 2013"
naver,1,2,3,5625,122,0,유리는 2부에서도 이쁨,"May 23, 2013"
naver,1,2,3,4057,123,0,신의탑사랑해요ㅠㅠ♥♥♥♥♥,"May 23, 2013"
naver,1,2,3,1958,86,0,오늘거보고온사람,"Mar 27, 2016"
naver,1,2,3,95,0,0,ㅋㅋㅋ 베댓보고 코리끼 찾으려왔다가 못찾고 만화로 재미본사람?,"Oct 14, 2018"
naver,1,3,4,41758,613,14,장미삼월을 써,"May 11, 2013"
naver,1,3,4,37991,530,13,중국산이네,"May 11, 2013"
naver,1,3,4,24088,528,8,장미칼던져주고싶다,"May 03, 2013"
naver,1,3,4,19920,562,4,장미볼인듯,"May 14, 2013"
naver,1,3,4,12342,1980,7,장비드립좀 적당히 하지...,"May 22, 2013"
naver,1,3,4,10890,490,1,볼이 중국산인가 삼월이 짝퉁인가,"May 20, 2013"
naver,1,3,4,8381,916,2,닝겐노 장미삼월와 안튼튼데스까네,"May 16, 2013"
naver,1,3,4,7493,326,1,베댓들ㅋㅋㅋ다 장미칼나오곸ㅋㅋ,"May 19, 2013"
naver,1,3,4,7262,197,0,헤돈 진짜 얄밉다 한대때리고싶다 ㅇㄴ,"May 22, 2013"
naver,1,3,4,5950,644,0,장미칼과 장미가위들고 잘라버려 !!  쌍검말고 쌍장미칼 말이닷!!,"May 16, 2013"
naver,1,3,4,5848,239,4,이 때만 해도 헤돈을 죽여버리고 싶었지…,"Jun 03, 2013"
naver,1,3,4,5044,269,0,엄청 잘 만든 볼이라니 *^^* 너도 나한테 엄청 잘 얻어맞아 볼래요 헤돈아?,"May 24, 2013"
naver,1,3,4,4536,441,1,"밤은 탑최하층이아닌 무개척지역인 탑꼭대기출신이다,","May 22, 2013"
naver,1,3,4,3851,138,0,아오 저 토깽이새끼 맘에안들어,"May 20, 2013"
naver,1,3,4,110,2,2,왜 베댓이 다 2013년이냐..애니나온 기념으로 2020년 배뎃도 하나 만들자,"Apr 05, 2020"
naver,1,4,5,48251,955,23,이만화 입문생들은 소녀를 꼭기억하세요,"May 11, 2013"
naver,1,4,5,36471,1132,6,보고계셨습니까? 부터 소녀분 이부분ㅋㅋㅋㅋ 처음엔 걍하는말인줄알았는데 이런게숨어있을줄이야 ㅋㅋㅋㅋㅋ와대박ㅅ 개소름,"May 11, 2013"
naver,1,4,5,27981,1227,6,이 만화 처음 보시는 분들 '소녀분' 부분 잘 기억해두세요 ㄷㄷㄷ,"May 11, 2013"
naver,1,4,5,23685,984,3,보고계셨습니까? 부터 반전이 이루어진다는... 헤돈의 눈길이 향한 곳을 아주 자세히 살펴보시면 알수 없습니다.,"May 13, 2013"
naver,1,4,5,21096,915,1,그소녀는 지금다른웝툰에서도 욕을먹지ㅋㅋ,"May 18, 2013"
naver,1,4,5,14267,563,3,에반켈의 지옥이 아냐!꽃돌이 천국이라구!울 귀여운 밤!멋쟁이 쿤!라크...라크는....어..어쨌든 꽃돌이 천국!,"May 14, 2013"
naver,1,4,5,11988,568,2,"소녀여,너는 나의 블랙리스트에 올랐다..","May 16, 2013"
naver,1,4,5,10603,538,0,첨보시는 분들은 다른 웹툰에서도 욕을 먹는 한 소녀를 기억해 두세요 지금은 모를겁니다 왜 욕을 먹지? 하면서,"May 13, 2013"
naver,1,4,5,9664,680,0,이때밤은포기를 했어야했어,"May 17, 2013"
naver,1,4,5,6806,248,3,쿤이 사기학원열면 대박일듯,"May 23, 2013"
naver,1,4,5,5765,336,0,여기도 라헬 떡밥이 뿌려져있단게 소름돋아,"May 21, 2013"
naver,1,4,5,5475,292,0,1만을위하여~~~,"May 15, 2013"
naver,1,4,5,5084,273,0,이땐 몰랐지 이게 엄청난 떡밥이였을줄은,"May 23, 2013"
naver,1,4,5,4439,189,0,사기쿤♡♡,"May 24, 2013"
naver,1,4,5,3673,265,0,라헬 때문이야,"May 20, 2013"
naver,1,5,6,28370,1682,8,쿤쿤♥♥사기쿤♥♥멋쟁쿤♥♥내꺼쿤♥♥남친쿤♥♥쿤느님♥♥,"May 11, 2013"
naver,1,5,6,25704,1022,7,닝겐노 가방와 튼튼데스네,"May 12, 2013"
naver,1,5,6,24227,406,2,사기쿤의시작,"May 09, 2013"
naver,1,5,6,17924,1063,9,못생긴사람은 다 죽는데 이수는 어떻게 살아있지?ㅋㅋ,"May 13, 2013"
naver,1,5,6,16141,332,1,나의 사랑 너의 사랑 사기쿤ㅋㅋㅋㅋ 그림체 가장 변한 게 쿤밤인듯,"May 17, 2013"
naver,1,5,6,13042,259,2,근데 진짜 궁금한게 회상편에서는 흰옷만입고있던 밤이 어떻게 옷이 생겼는가,"May 18, 2013"
naver,1,5,6,10979,314,8,처음보시는분은댓글보지마세요,"May 17, 2013"
naver,1,5,6,9239,578,0,정주행중 ㅎㅎ 여러분 정주행 하는분들께 물어볼게요 쿤이 좋으면 좋아요를 싫으면 싫어요를 해주세요 ㅎㅎ,"May 31, 2013"
naver,1,5,6,8833,393,0,"사람이 가장 공포를 느낀다는 라헬의 얼굴,제가 직접 때려보겠습니다.","May 18, 2013"
naver,1,5,6,6597,260,2,라헬 왈: 만약에- 만약에 내가 말야 누군가에게 맞거나 험한 말을 듣는다면 밤은 어떨 것 같아?밤 왈: 그 누군가를 사랑하게 될거야♥,"May 24, 2013"
naver,1,5,6,6133,140,0,최대한 아껴서 보는중인데 내 손은 계속 다음화를..ㅠㅠ,"May 21, 2013"
naver,1,5,6,3951,218,0,연기천재 라헬.,"May 24, 2013"
naver,1,5,6,3481,132,0,내가밤을구해줬어야하는데!,"May 20, 2013"
naver,1,5,6,2966,690,3,"총원이 400명입니다. 나는 살아남은 200명중 한사람. 그러니까 199명+1명(나)이 되어야합니다. 쿤은 말하죠 누군가가 200명을 죽일때 나는 남은 200명을 동료로 만들겠다고, 그소리는 총원 400명에서 살아남은 200명. 즉 199명+자신을 제외한 나머지 200명을 말하는겁니다. 결론은 쿤은 수학 잘함 ㅇㅇ","Nov 10, 2015"
naver,1,5,6,155,2,1,아니 쿤 어쩐지 갑툭튀해서 뭐지 이장면 이랬었나 했는데대사 생략 에바잖아.; 남들은 200명으로 줄이려거 할때 지혼자 200명 동료로 만들겠다는 ㅈㄴ멋진 저 대사를 생략하다니..,"Apr 01, 2020"
naver,1,6,7,52128,330,9,악어는 이때이후로 귀여움에만 스킬포인트룰 잔뜩쏟아부었네,"May 11, 2013"
naver,1,6,7,31197,398,5,라쿤밤진짜너무좋았는데...이때진짜....ㅜ.ㅜ그립다...,"May 15, 2013"
naver,1,6,7,27448,312,5,라쿤밤의시작=개그만화의 시작,"May 13, 2013"
naver,1,6,7,19119,498,2,라쿤밤 이때가 진짜 그립다!!ㅜㅜ 다시 셋이 모일순없는건강,"May 20, 2013"
naver,1,6,7,12166,793,2,야아~라크 쿤 가방 맞고 뇌졸중 않 걸린게 다행이다,"May 16, 2013"
naver,1,6,7,10220,278,1,밤이랑 쿤의 인연은 이때부터 시작되었다고 한다(사랑의도피인가..),"May 15, 2013"
naver,1,6,7,7368,461,3,그녀를 지~~~~켜라,"May 14, 2013"
naver,1,6,7,6679,155,0,♥라♥쿤♥밤♥스릉♡ㅠㅠ요때 그립다.,"May 22, 2013"
naver,1,6,7,5670,163,1,진격의 아거,"May 19, 2013"
naver,1,6,7,5607,200,0,이때가 참 밤이 순수했었는데이 망할 FUG 새끼들,"May 22, 2013"
naver,1,6,7,5281,124,0,하..라♥쿤♥밤♥,"May 21, 2013"
naver,1,6,7,5055,100,0,악어는 점점작아지게되고... 개그캐가 되어가지..,"May 22, 2013"
naver,1,6,7,3994,126,0,쿤밤커플은 진리입니다,"May 22, 2013"
naver,1,6,7,3605,123,0,난 이 편에서는 못된 애라고 생각했었는데 다음편보면ㅋㅋ귀여운 개그캐릭이 됨니~다♥,"May 22, 2013"
naver,1,6,7,3386,89,0,라크형 나중에 존나귀여워진다능♥♥♥,"May 29, 2013"
naver,1,7,8,41243,1817,25,저때만 해도 츄리닝이 리더가 될줄은 몰랐지,"May 11, 2013"
naver,1,7,8,33862,1290,8,우리의 추리닝 이수가 지능캐 일줄은 상상도 못했죠ㅋㅋㅋ 거기에다 안면인식장애가 있을줄은...ㅎㄷㄷ,"May 16, 2013"
naver,1,7,8,26307,530,5,저 악어는 나중에 귀염스킬이 만렙이됩니다,"May 13, 2013"
naver,1,7,8,18296,473,1,다비치가부릅니다 거북이,"May 17, 2013"
naver,1,7,8,13336,692,1,밤의 정체가 차라리 여자였다면ㅠㅠ 하지만 남탕을 갔...,"May 13, 2013"
naver,1,7,8,10458,486,1,이때 하츠의 검이 장미칼이 될줄은 아무도 몰랐겠지..,"May 18, 2013"
naver,1,7,8,9688,252,0,으아 첫주행인데 댓글 괜히봤다 스포ㅜㅜ,"May 19, 2013"
naver,1,7,8,7274,140,1,라임잌ㅋㅋㅋㅋ느껴진데ㅋㅋㅋ으엌ㅋㅋㅋㅋㅋㅋㅋ,"May 14, 2013"
naver,1,7,8,5325,112,0,악어어쩔껴초귀요미ㅋㅋ,"May 17, 2013"
naver,1,7,8,4323,128,0,십이수 하츠 아낙 긴 인연의 시작,"May 28, 2013"
naver,1,7,8,4242,146,0,으..?정주행중인데 댓이 다 어디갓ㅇ 증발 ㅎㅇ..?,"May 17, 2013"
naver,1,7,8,3867,191,0,스포 그만합시다!!!,"May 22, 2013"
naver,1,7,8,3354,245,1,자세히 보니까 검은 삼월 일본글자로 적혀있네...의=노 라고 적혀있음,"Jun 05, 2013"
naver,1,7,8,2315,106,0,"현재 제가 올린 시점의 7,8화의 댓글이 8928개로 갯수가 같습니다.","Jun 01, 2013"
naver,1,7,8,79,0,0,애니 보면서 비교하는 사람?,"Apr 08, 2020"
naver,1,8,9,38481,608,12,검은 삼월 놔두고 다음층으로 올라가네...,"May 17, 2013"
naver,1,8,9,24244,1053,10,이때는 수가맞는다할때 가방이 비춰진 이유를 몰랐지,"May 19, 2013"
naver,1,8,9,19053,324,1,"라크 처음으로 ""읭?""할때 디지몬화 됬음♥","May 21, 2013"
naver,1,8,9,11956,340,1,낚시꾼은 물고기 잡는다 ... 거북이 잡진 않아 아7ㅓ야,"May 10, 2013"
naver,1,8,9,10362,250,0,지금부터 롸리더의 기욤포텐이 터지기 시작한다,"May 17, 2013"
naver,1,8,9,6684,171,13,사기쿤,"May 17, 2013"
naver,1,8,9,5641,145,0,이때가분량개사기엿군,"May 24, 2013"
naver,1,8,9,4801,182,3,근데 200명인데 어떻게 3명을 만들지? 2명은 탈락인겅가...,"Jun 05, 2013"
naver,1,8,9,3791,82,0,악어 귀요미다ㅋㅋ,"May 21, 2013"
naver,1,8,9,3415,103,0,아7ㅓ!,"May 11, 2013"
naver,1,8,9,3054,89,0,읭??,"May 17, 2013"
naver,1,8,9,2860,54,0,어휴 낚시꾼이라면서 지가 낚였넼ㅋㅋㅋㅋ 진짜 귀엽다,"Jun 05, 2013"
naver,1,8,9,2629,68,0,...그래서 라크는 귀여움을 자기것으로 만든건가,"May 30, 2013"
naver,1,8,9,2406,61,0,밤은 좀 좋은 거북이였구나,"Jun 01, 2013"
naver,1,8,9,2268,31,1,헌팅하려다 헌팅당했네,"Jun 05, 2013"
naver,1,9,10,35611,267,11,라크 기엽다,"May 11, 2013"
naver,1,9,10,24766,854,14,그렇다 여기 있는 대부분들은 나중에 안멱인식 장애가 오지. 이수야... 너만은 안면인식장애가 아니길 바랬어.,"May 14, 2013"
naver,1,9,10,20999,493,1,4컷의 쫄쫄이가 엄청난팬층을 자랑하게된다는것은 아무도몰랐겠지,"May 17, 2013"
naver,1,9,10,16402,304,0,라크랑손잡고있는장면 너무귀엽닼ㅋㅋ,"May 17, 2013"
naver,1,9,10,13208,251,4,밤: 신수의 기압따위,"May 25, 2013"
naver,1,9,10,8168,231,0,ㄱ..괴물그게무슨소리요 레로로양반 뽀로로도아니고,"May 17, 2013"
naver,1,9,10,6431,163,0,이때는 로가 곱등이였지,"May 21, 2013"
naver,1,9,10,5952,96,4,괴물이들어왔군 이말인상깊음..,"Jun 05, 2013"
naver,1,9,10,5653,168,0,분량봐라 이게바로 웹툰이지,"May 26, 2013"
naver,1,9,10,5136,109,0,레로 다리 개얇아 ㅋㅋㅋㅋㅋㅋ,"May 26, 2013"
naver,1,9,10,3932,72,0,미남이 들어왔군,"Jun 01, 2013"
naver,1,9,10,2970,196,0,레로로 왕난이약간닮앗다,"Jun 05, 2013"
naver,1,9,10,2435,107,0,레로로보니까 뽀로로의 에디가 생각난다..,"May 30, 2013"
naver,1,9,10,1996,84,0,저도 비틀즈 사랑해요ㅎ,"Jun 05, 2013"
naver,1,9,10,219,3,2,"근데 저 세대 사기아니냐... 수천만명중에 한두명이 랭커된다는데 쟤네는 랭커확정수순인 애만 해도 라쿤밤에 엔도르시, 아낙, 라우뢰, 하츠...? ㄹㅇ기적의 세대네","Nov 07, 2018"
naver,1,10,11,26887,153,7,아니 이게 어딜봐서 부족한 분량이지??ㄷㄷ,"May 17, 2013"
naver,1,10,11,17391,201,5,레로-로 님이 미쳐 날뛰고 있습니다,"May 11, 2013"
naver,1,10,11,15242,163,0,레로 로 개간지 ㅎㄷㄷ,"May 08, 2013"
naver,1,10,11,12371,147,0,이게 부족하면 ...............작가님........짱드세요..,"May 17, 2013"
naver,1,10,11,12004,508,10,우렉마지노 기억하세요  처음보는분들,"May 21, 2013"
naver,1,10,11,6440,147,0,가랏!!로카츄!! 백만볼트!! !!,"May 15, 2013"
naver,1,10,11,5575,100,0,우리나라에도 이런만화가 존재하다니. . 작가님  짱♥♥,"May 19, 2013"
naver,1,10,11,5238,158,0,쿤의 가방 복선 ㄷㄷ해,"May 19, 2013"
naver,1,10,11,3566,64,6,다시 신의탑 정주행하는사람 1인,"Jun 01, 2013"
naver,1,10,11,3494,168,0,닝겐노 신수와 튼튼데스네,"May 11, 2013"
naver,1,10,11,3185,318,0,신탑도 네이버가 10화까지만 보여주고 유료화하면 네이버 본사에다 목숨걸고 어떻게든 구해서 폭탄 설치할거다.,"May 30, 2013"
naver,1,10,11,3147,75,0,근대..밤 눈에 대해선 왜 아무말도 없지..어떻게 아낙만 다르다는걸 눈에 힘준것맘으로 알게되는지...아직 안나온 복선인가..,"Jun 02, 2013"
naver,1,10,11,2810,62,0,요즘에는신의탑이 너무 진지해서 웃긴게 없는데 옛날거 보니까 완전 나혼자 빵터지넼ㅋㅋ,"May 25, 2013"
naver,1,10,11,2534,66,0,밤보고 쓸모없다니요? 나중에캐간지 찰랑찰랑님보고 지리지나마셈^_^,"Jun 01, 2013"
naver,1,10,11,89,6,1,지금보니까 신수장막을 통과못해서 저러고 있다니...미래에는 밤이 오브를 만들고 있다고.ㅋㅋㅋ,"Sep 13, 2019"
naver,1,11,12,37024,1331,18,쟤남자라는것을알고나는굉장한충격을먹었었지,"May 16, 2013"
naver,1,11,12,28917,372,9,시간을 힌트로 시험을 치루면 첫번째로 들어간 팀은 무슨 죄야..;;,"May 19, 2013"
naver,1,11,12,25319,510,1,밤은 못 나간게 아니라 신수어 대한 저항이 아예 없는 것 같네요. 최하층에서의 시험에서도 철갑장어 암컷은 산란기에는 신수 농도가 아주 짙은데어서 사는데 밤은 그곳을 그냥 뛰어다녔습니다. 괴물인거죠. 거기안에서 돌아다니기 힘든 '랭커'들이 엄청난데 밤은 괴물인거죠,"May 21, 2013"
naver,1,11,12,21364,588,12,가방이왜걸렸을까요,"May 21, 2013"
naver,1,11,12,13222,308,4,"쿤이 위험하다는게 지금까지 나온것들중에 있을까,아니면 진짜로 '위험'한걸까?","May 11, 2013"
naver,1,11,12,10996,205,3,밤이 멈춰야 할 때가 있을까,"May 10, 2013"
naver,1,11,12,9539,486,2,이때는 유한성이 좋은사람인줄 알았는데,"May 22, 2013"
naver,1,11,12,7043,290,0,아나 유한성,"May 15, 2013"
naver,1,11,12,6793,604,3,위에서 16번째 컷에서 레로로 그 자는애 밟았나 봄,"May 20, 2013"
naver,1,11,12,5305,98,0,저 힌트알려준애 계속보면 존나무섭게생김ㅋㅋ,"May 22, 2013"
naver,1,11,12,3726,204,0,솔직히 이 시험 처음 보고 신과함께 마지막 거해지옥에 나오는 문인줄알고 깜놀,"May 18, 2013"
naver,1,11,12,3642,119,0,유한성이 예쁜여잔줄알았지..,"May 23, 2013"
naver,1,11,12,3237,130,0,깨알같은 '크헉'짤 ㅋㅋㅋ 레로로가 밟았다 ㅋㅋ,"May 20, 2013"
naver,1,11,12,3027,165,0,....유한성 이때까지만 해도 능구렁이같은 좋은앤줄 알았는데,"May 23, 2013"
naver,1,11,12,2773,111,0,이때까진 유한성이 여자인줄 알았지.,"May 22, 2013"
naver,1,12,13,25982,724,11,유한성 남자임욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 속지마세여,"May 11, 2013"
naver,1,12,13,21731,197,2,라크 욕쟁이 악엌ㅋㅋㅋㅋㅋ슈발이랰ㅋㅋ,"May 17, 2013"
naver,1,12,13,15638,336,7,쿤 남잔데 이쁘다. 난 왜사는거지.....ㅠㅠ,"May 18, 2013"
naver,1,12,13,15156,208,3,찍는단얘기를왜진지한얼굴로,"May 23, 2013"
naver,1,12,13,10264,218,0,쿤어렸을때머리길이ㅎㄷㄷ,"May 20, 2013"
naver,1,12,13,6790,149,1,라크가 뿜엇다 (빔을),"May 23, 2013"
naver,1,12,13,5833,123,0,찍기는 3번째 껄로 해야지,"May 21, 2013"
naver,1,12,13,5314,103,1,꺄 유리 예쁘다,"May 18, 2013"
naver,1,12,13,5089,100,1,쿤 과거나올때 말풍선 완전많은 부분 일일이 다 읽어보세여 넘기지말고..,"May 29, 2013"
naver,1,12,13,3413,84,0,라킄ㄱㅋㅋㅋㄱㅋㄱㅋㅋㄱㅋㄱㅋㅋㅋㄱㅋㄱㅋㄱ,"May 21, 2013"
naver,1,12,13,3177,89,0,ㅋㅋ빌어먹을악어는욕쟁이악어,"May 21, 2013"
naver,1,12,13,2983,53,0,라크 입에서 레이져랑 불뿜는거 실전에서안써요?ㅋㅋㅋㅋ존나빡칠때만쓸수있나ㅋㅋㅋㅋ,"May 24, 2013"
naver,1,12,13,2974,169,0,이 시험은 단서도 없는 상태에서 남의 근거 없는 말만 믿고도 그것에 거는 용기를 시험하는 것 이군 탑에 올라가면 올라갈수록 용기는 더더욱 필요하게 될테니까 용기가 없는 자는 꺼져라 라는 거겠죠 맞죠?,"May 29, 2013"
naver,1,12,13,1927,68,0,라크빔쏜다,"May 27, 2013"
naver,1,12,13,1731,33,0,ㅋㅋㅋ라크원기옥만드는중,"May 24, 2013"
naver,1,13,14,34473,471,8,"이수가 저렇게 오목조목 하나하나씩 똘똘하게 말하는거보면 작가님이 이수는 절대 개그캐보단 지능형으로 정한거라 딱 떡밥이 보이네...,","Mar 14, 2013"
naver,1,13,14,27946,793,6,얼굴이 완전히 안나왔을때가 더 낫네ㅋㅋ(라헬),"May 15, 2013"
naver,1,13,14,22955,993,6,뭔가이상하네 그럼 처음팀은 어떻게 비명소리를 듣고 햇지,"May 22, 2013"
naver,1,13,14,16110,2498,7,..유한성의 가족은 무한성이나 제한성입니까?,"Aug 04, 2012"
naver,1,13,14,10619,635,0,작가님은 라헬을 사랑할지 몰라도 난 아니야. 라헬냔.. 지옥이나 가버렷.,"May 19, 2013"
naver,1,13,14,9894,187,1,호홓홓홓홓홓홓홓홓홓홓홓ㅎ(역시 신의탑 휴재엔 정주행이지),"Jun 01, 2013"
naver,1,13,14,8470,298,0,오홓홓옿홓홓홓오오호호호옿,"May 19, 2013"
naver,1,13,14,6532,316,0,라헬이 살아남았군ㅋ 이거뭔가 수상한데ㅋ,"May 13, 2013"
naver,1,13,14,6216,548,2,이때까지는 라헬이 착한줄 알았지.,"May 22, 2013"
naver,1,13,14,4636,952,3,시계가 5분주기로 돌아가는거 눈치채려면5분지나야되는데 그럼탈락아닌가?허헣,"Jul 19, 2013"
naver,1,13,14,4499,308,2,"베뎃님들 답글 1.이 팀이 2기 첫번쨰라면 1기의 마지막팀의 음성을 듣고 시작  2.시계가 5분주기 체크는 시계바늘이 1을 가르킬때까진 25초 걸림(포켓으로 확인가능) 즉, 6을 가르킬땐 150초(2분30초)로 5분주기 시계라는걸 미리 예측 가능합니다!! 늦은 댓글과 99프로에 운이 없기에.. 베댓안데겟지 ㅠ","Sep 25, 2013"
naver,1,13,14,3756,214,0,장미칼...?,"May 13, 2013"
naver,1,13,14,3230,123,0,과거와 현재... 라크가 다 올려보내네ㅋㅋㅋ,"May 25, 2013"
naver,1,13,14,2737,120,0,지케였다는게 최대의 반전,"May 20, 2013"
naver,1,13,14,2513,44,3,처음팀은 랭커였을수도 있죠 선별인원인척 랭커가 들어가서 5분이 지나면 죽이지 않고 비명 소리만 들려 주는 겁니다,"Aug 01, 2016"
naver,1,14,15,24480,733,13,비선별이라고 다 같은 비선별인가 저런 엉겹결에 걸려들어온 열등감폭발무능아따위,"May 11, 2013"
naver,1,14,15,22640,267,3,그렇게 말하는 녀석들이 나중에 제일 무섭더라 .....그 말 맞는 듯,"May 19, 2013"
naver,1,14,15,19583,286,2,이수의 예언은#정확했습니다.. 이수야 점집차려라 돈많이벌것다,"May 15, 2013"
naver,1,14,15,16618,286,4,옆동네 신과함께 출현ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋ드립력 터진다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"May 19, 2013"
naver,1,14,15,10181,556,0,그게 나중에 무서워지는 비올레를 뜻하는거지,"May 21, 2013"
naver,1,14,15,7619,514,0,이때 까지 유한성이 여자인줄 알았지...,"May 16, 2013"
